"filename", "language", "Markdown", "JSON", "TypeScript", "Prisma", "JSON with Comments", "TOML", "Oracle-SQL and PLSQL", "comment", "blank", "total"
"c:\Users\mpali\Desktop\block_be\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mpali\Desktop\block_be\controllers\fundTransactionController.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 12, 99
"c:\Users\mpali\Desktop\block_be\errors\httpStatusCodeErrors.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\mpali\Desktop\block_be\index.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 6, 9, 37
"c:\Users\mpali\Desktop\block_be\middleware\httpStatusCodeHandler.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\mpali\Desktop\block_be\package-lock.json", "JSON", 0, 1562, 0, 0, 0, 0, 0, 0, 1, 1563
"c:\Users\mpali\Desktop\block_be\package.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\mpali\Desktop\block_be\prisma\migrations\20241016023411_test\migration.sql", "Oracle-SQL and PLSQL", 0, 0, 0, 0, 0, 0, 26, 7, 10, 43
"c:\Users\mpali\Desktop\block_be\prisma\migrations\20241016025744_mig_01\migration.sql", "Oracle-SQL and PLSQL", 0, 0, 0, 0, 0, 0, 5, 13, 5, 23
"c:\Users\mpali\Desktop\block_be\prisma\migrations\20241016030142_mig_02\migration.sql", "Oracle-SQL and PLSQL", 0, 0, 0, 0, 0, 0, 7, 1, 2, 10
"c:\Users\mpali\Desktop\block_be\prisma\migrations\20241016031750_mig_03\migration.sql", "Oracle-SQL and PLSQL", 0, 0, 0, 0, 0, 0, 15, 13, 7, 35
"c:\Users\mpali\Desktop\block_be\prisma\migrations\20241016035121_mig_05\migration.sql", "Oracle-SQL and PLSQL", 0, 0, 0, 0, 0, 0, 13, 12, 7, 32
"c:\Users\mpali\Desktop\block_be\prisma\migrations\migration_lock.toml", "TOML", 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\Users\mpali\Desktop\block_be\prisma\schema.prisma", "Prisma", 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\Users\mpali\Desktop\block_be\repositories\fundTransactionRepository.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 7, 49
"c:\Users\mpali\Desktop\block_be\routes\fundTransactionRoute.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\Users\mpali\Desktop\block_be\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 10, 0, 0, 90, 9, 109
"Total", "-", 1, 1591, 190, 26, 10, 1, 66, 144, 87, 2116